Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,19,1,Some Random Commen with Id 0
1,0,9,83,6,Some Random Commen with Id 1
2,0,9,9,4,Some Random Commen with Id 2
3,0,9,20,8,Some Random Commen with Id 3
4,0,9,192,6,Some Random Commen with Id 4
5,1,4,30,8,Some Random Commen with Id 5
6,1,4,35,4,Some Random Commen with Id 6
7,1,4,108,3,Some Random Commen with Id 7
8,1,4,147,2,Some Random Commen with Id 8
9,1,4,75,8,Some Random Commen with Id 9
10,1,4,95,6,Some Random Commen with Id 10
11,1,4,155,1,Some Random Commen with Id 11
12,1,4,46,3,Some Random Commen with Id 12
13,2,9,92,4,Some Random Commen with Id 13
14,2,9,114,8,Some Random Commen with Id 14
15,2,9,160,9,Some Random Commen with Id 15
16,2,9,148,4,Some Random Commen with Id 16
17,2,9,101,0,Some Random Commen with Id 17
18,2,9,128,3,Some Random Commen with Id 18
19,3,6,166,6,Some Random Commen with Id 19
20,3,6,139,4,Some Random Commen with Id 20
21,3,6,110,4,Some Random Commen with Id 21
22,3,6,152,6,Some Random Commen with Id 22
23,4,9,84,4,Some Random Commen with Id 23
24,4,9,47,6,Some Random Commen with Id 24
25,4,9,46,0,Some Random Commen with Id 25
26,4,9,160,9,Some Random Commen with Id 26
27,4,9,148,3,Some Random Commen with Id 27
28,4,9,192,3,Some Random Commen with Id 28
29,4,9,166,1,Some Random Commen with Id 29
30,4,9,66,3,Some Random Commen with Id 30
31,5,1,56,3,Some Random Commen with Id 31
32,5,1,43,6,Some Random Commen with Id 32
33,6,6,140,4,Some Random Commen with Id 33
34,6,6,185,6,Some Random Commen with Id 34
35,6,6,175,2,Some Random Commen with Id 35
36,7,7,83,5,Some Random Commen with Id 36
37,7,7,197,1,Some Random Commen with Id 37
38,7,7,2,6,Some Random Commen with Id 38
39,7,7,148,5,Some Random Commen with Id 39
40,7,7,111,4,Some Random Commen with Id 40
41,7,7,113,3,Some Random Commen with Id 41
42,7,7,143,8,Some Random Commen with Id 42
43,7,7,32,6,Some Random Commen with Id 43
44,7,7,61,8,Some Random Commen with Id 44
45,8,8,54,6,Some Random Commen with Id 45
46,8,8,158,8,Some Random Commen with Id 46
47,8,8,195,1,Some Random Commen with Id 47
48,8,8,24,6,Some Random Commen with Id 48
49,8,8,36,2,Some Random Commen with Id 49
50,8,8,8,6,Some Random Commen with Id 50
51,9,1,112,2,Some Random Commen with Id 51
52,9,1,52,7,Some Random Commen with Id 52
53,9,1,170,7,Some Random Commen with Id 53
54,9,1,90,9,Some Random Commen with Id 54
55,9,1,128,6,Some Random Commen with Id 55
56,9,1,73,9,Some Random Commen with Id 56
57,9,1,97,6,Some Random Commen with Id 57
58,10,3,136,8,Some Random Commen with Id 58
59,10,3,185,1,Some Random Commen with Id 59
60,11,7,179,8,Some Random Commen with Id 60
61,11,7,25,0,Some Random Commen with Id 61
62,11,7,43,2,Some Random Commen with Id 62
63,11,7,132,1,Some Random Commen with Id 63
64,11,7,121,5,Some Random Commen with Id 64
65,11,7,77,6,Some Random Commen with Id 65
66,12,9,22,6,Some Random Commen with Id 66
67,12,9,49,1,Some Random Commen with Id 67
68,12,9,114,6,Some Random Commen with Id 68
69,12,9,22,0,Some Random Commen with Id 69
70,12,9,81,7,Some Random Commen with Id 70
71,12,9,55,3,Some Random Commen with Id 71
72,12,9,71,0,Some Random Commen with Id 72
73,13,3,127,9,Some Random Commen with Id 73
74,14,5,190,4,Some Random Commen with Id 74
75,14,5,104,4,Some Random Commen with Id 75
76,14,5,2,0,Some Random Commen with Id 76
77,14,5,112,8,Some Random Commen with Id 77
78,14,5,112,1,Some Random Commen with Id 78
79,14,5,197,0,Some Random Commen with Id 79
80,14,5,124,7,Some Random Commen with Id 80
81,14,5,183,7,Some Random Commen with Id 81
82,15,3,28,4,Some Random Commen with Id 82
83,15,3,125,0,Some Random Commen with Id 83
84,15,3,2,7,Some Random Commen with Id 84
85,15,3,39,7,Some Random Commen with Id 85
86,15,3,194,4,Some Random Commen with Id 86
87,15,3,4,0,Some Random Commen with Id 87
88,15,3,152,3,Some Random Commen with Id 88
89,16,8,159,1,Some Random Commen with Id 89
90,16,8,188,8,Some Random Commen with Id 90
91,18,5,44,2,Some Random Commen with Id 91
92,19,7,65,7,Some Random Commen with Id 92
93,19,7,87,3,Some Random Commen with Id 93
94,19,7,46,5,Some Random Commen with Id 94
95,19,7,48,6,Some Random Commen with Id 95
96,19,7,82,8,Some Random Commen with Id 96
97,19,7,178,5,Some Random Commen with Id 97
98,19,7,96,6,Some Random Commen with Id 98
99,20,2,29,1,Some Random Commen with Id 99
100,20,2,78,9,Some Random Commen with Id 100
101,20,2,188,7,Some Random Commen with Id 101
102,20,2,152,4,Some Random Commen with Id 102
103,20,2,17,0,Some Random Commen with Id 103
104,20,2,31,7,Some Random Commen with Id 104
105,20,2,171,1,Some Random Commen with Id 105
106,20,2,56,0,Some Random Commen with Id 106
107,21,6,122,1,Some Random Commen with Id 107
108,21,6,191,1,Some Random Commen with Id 108
109,22,6,11,6,Some Random Commen with Id 109
110,23,3,120,5,Some Random Commen with Id 110
111,23,3,3,3,Some Random Commen with Id 111
112,23,3,36,4,Some Random Commen with Id 112
113,23,3,34,2,Some Random Commen with Id 113
114,23,3,155,7,Some Random Commen with Id 114
115,23,3,74,7,Some Random Commen with Id 115
116,23,3,12,1,Some Random Commen with Id 116
117,24,9,84,2,Some Random Commen with Id 117
118,24,9,109,6,Some Random Commen with Id 118
119,24,9,143,2,Some Random Commen with Id 119
120,24,9,183,2,Some Random Commen with Id 120
121,24,9,37,3,Some Random Commen with Id 121
122,24,9,172,0,Some Random Commen with Id 122
123,24,9,192,9,Some Random Commen with Id 123
124,24,9,163,4,Some Random Commen with Id 124
125,24,9,84,8,Some Random Commen with Id 125
126,25,1,176,0,Some Random Commen with Id 126
127,25,1,122,6,Some Random Commen with Id 127
128,25,1,1,2,Some Random Commen with Id 128
129,25,1,44,8,Some Random Commen with Id 129
130,25,1,173,7,Some Random Commen with Id 130
131,25,1,77,5,Some Random Commen with Id 131
132,25,1,52,2,Some Random Commen with Id 132
133,25,1,173,6,Some Random Commen with Id 133
134,26,3,3,4,Some Random Commen with Id 134
135,26,3,11,3,Some Random Commen with Id 135
136,26,3,12,6,Some Random Commen with Id 136
137,26,3,158,4,Some Random Commen with Id 137
138,26,3,2,1,Some Random Commen with Id 138
139,27,9,156,2,Some Random Commen with Id 139
140,27,9,125,3,Some Random Commen with Id 140
141,27,9,155,1,Some Random Commen with Id 141
142,28,0,132,7,Some Random Commen with Id 142
143,28,0,160,9,Some Random Commen with Id 143
144,28,0,145,6,Some Random Commen with Id 144
145,28,0,144,7,Some Random Commen with Id 145
146,28,0,66,9,Some Random Commen with Id 146
147,28,0,147,2,Some Random Commen with Id 147
148,28,0,34,1,Some Random Commen with Id 148
149,28,0,148,5,Some Random Commen with Id 149
150,28,0,148,6,Some Random Commen with Id 150
151,29,0,84,4,Some Random Commen with Id 151
152,29,0,180,7,Some Random Commen with Id 152
153,29,0,18,3,Some Random Commen with Id 153
154,29,0,24,1,Some Random Commen with Id 154
155,29,0,33,9,Some Random Commen with Id 155
156,29,0,21,5,Some Random Commen with Id 156
157,29,0,45,7,Some Random Commen with Id 157
158,30,2,147,2,Some Random Commen with Id 158
159,30,2,138,3,Some Random Commen with Id 159
160,30,2,3,8,Some Random Commen with Id 160
161,30,2,138,7,Some Random Commen with Id 161
162,31,8,190,2,Some Random Commen with Id 162
